"All parcel data in this report is for use by the Washoe County Assessor for assessment purposes only. The summary data in this report may not be a complete representation of the parcel or of the improvements thereon. Building information, including unit counts and number of permitted units, should be verified with the appropriate building and planning agencies. Zoning information should be verified with the appropriate planning agency. All parcels are reappraised each year. ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
APN,Add Rec,Situs,Sales Date,Sale Price,Sale Verf,RecDoc,Subdivision,Year Blt,Avg Yr Blt,BldgType,Stories,Bldg SF,Grade,Beds,Full Baths,Half Baths,Heat Type,Exterior Walls,Roof Type,Gar Type,Gar Area,Bsmt Type,Bsmt Area,LUC at Sale,Zoning (codes should be verified with the zoning authority) ,Acres,Owner1,Addl Owner,Mailing1,Mailing2,City,State,Zip,PriorOwner,PriorPID,LegalDesc,TaxDist,Total Units
001-020-02,,3945 KINGS ROW,2005-05-24 00:00:00,266000,2D,03218918,WINDERMERE 1,1984,1984,Townhse Ins,TWO,1444,FAIR,2,2,1,FA,PLYWOOD,BUILT-UP ROC,GARA,400,,0,21,MF14,0.00100000004749745,,,,,,,,,,WINDERMERE 1 LT 2 BLK A,1005,1
001-020-10,,3961 KINGS ROW,2005-11-14 00:00:00,275000,2D,03307392,WINDERMERE 1,1984,1984,Townhse Ins,TWO,1767,FAIR,3,3,0,FA,PLYWOOD,BUILT-UP ROC,GARA,400,,0,21,MF14,0.00100000004749745,,,,,,,,,,WINDERMERE 1 LT 10 BLK A,1005,1
001-020-15,,3971 KINGS ROW,2005-03-25 00:00:00,199500,2D,03188293,WINDERMERE 1,1984,1984,Townhse End,TWO,1123,FAIR,2,1,1,FA/AC,PLYWOOD,BUILT-UP ROC,GARA,250,,0,21,MF14,0.00100000004749745,,,,,,,,,,WINDERMERE 1 LT 15 BLK A,1005,1
001-030-08,,2790 COLUMBUS WAY,2005-11-16 00:00:00,300000,2D,03308822,WINDERMERE EST,1984,1984,Sgl Fam Res ,TWO,1807,FAIR/AVG,3,2,1,FA,HARDBOARD,WOOD SHAKE,GARA,601,,0,20,SF15,0.609000027179718,,,,,,,,,,WINDERMERE EST LT 8 BLK A,1005,1
001-030-17,,2815 COLUMBUS WAY,2005-03-15 00:00:00,303000,2D,03182777,WINDERMERE EST,1984,1984,Sgl Fam Res ,TWO,1780,FAIR/AVG,3,2,1,FA,HARDBOARD,COMP SHINGLE,GARB,588,,0,20,SF15,0.224999994039536,,,,,,,,,204-240-30,WINDERMERE EST ADJ LT 9 BLK B (RS 3461),1005,1
001-041-12,,3090 BRYAN ST,2005-07-18 00:00:00,315000,2D,03246745,PM 1086,1986,1986,Sgl Fam Res ,SPLIT,1408,FAIR,3,2,1,FA,HARDBOARD,WOOD SHAKE,GARB,528,,0,20,SF6 ,0.170000001788139,,,,,,,,,,PM 1086 LT 1,1005,1
001-041-17,,BRYAN ST,2005-11-02 00:00:00,1825000,1MGA,03301793,FR SW4 NE4,0,0,,,0,,0,0,0,,,,,0,,0,11,SF6 ,1.537534475326538,,,,,,,,,001-041-17,FR SW4 NE4 SEC 4 TWP 19 RGE 19,1005,0
001-041-56,,GULLING RD,2005-11-02 00:00:00,1825000,1MGA,03301793,PM 4468,0,0,,,0,,0,0,0,,,,,0,,0,11,SF6 ,0,,,,,,,,,001-041-18,PM 4468 LT 1,1005,0
001-041-57,,GULLING RD,2005-11-02 00:00:00,1825000,1MGA,03301793,PM 4468,0,0,,,0,,0,0,0,,,,,0,,0,11,SF6 ,0,,,,,,,,,001-041-18,PM 4468 LT 2,1005,0
