dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt
1686722400,"{'temp': 289.01, 'feels_like': 288.71, 'temp_min': 289.01, 'temp_max': 290.44, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 865, 'humidity': 79, 'temp_kf': -1.43}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 73},"{'speed': 2.37, 'deg': 256, 'gust': 2.64}",10000,0.41,{'pod': 'n'},2023-06-14 06:00:00
1686733200,"{'temp': 289.15, 'feels_like': 288.69, 'temp_min': 289.15, 'temp_max': 289.57, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 864, 'humidity': 72, 'temp_kf': -0.42}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 84},"{'speed': 2.03, 'deg': 266, 'gust': 2.1}",10000,0.0,{'pod': 'n'},2023-06-14 09:00:00
1686744000,"{'temp': 288.53, 'feels_like': 287.98, 'temp_min': 288.53, 'temp_max': 288.53, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 863, 'humidity': 71, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 82},"{'speed': 1.6, 'deg': 277, 'gust': 1.64}",10000,0.0,{'pod': 'n'},2023-06-14 12:00:00
1686754800,"{'temp': 291.69, 'feels_like': 291.19, 'temp_min': 291.69, 'temp_max': 291.69, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 864, 'humidity': 61, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",{'all': 3},"{'speed': 0.91, 'deg': 247, 'gust': 1.25}",10000,0.0,{'pod': 'd'},2023-06-14 15:00:00
1686765600,"{'temp': 296.67, 'feels_like': 296.12, 'temp_min': 296.67, 'temp_max': 296.67, 'pressure': 1010, 'sea_level': 1010, 'grnd_level': 864, 'humidity': 40, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",{'all': 3},"{'speed': 1.28, 'deg': 344, 'gust': 3.46}",10000,0.0,{'pod': 'd'},2023-06-14 18:00:00
1686776400,"{'temp': 300.68, 'feels_like': 299.73, 'temp_min': 300.68, 'temp_max': 300.68, 'pressure': 1006, 'sea_level': 1006, 'grnd_level': 863, 'humidity': 25, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",{'all': 9},"{'speed': 6.03, 'deg': 305, 'gust': 5.4}",10000,0.0,{'pod': 'd'},2023-06-14 21:00:00
1686787200,"{'temp': 298.25, 'feels_like': 297.6, 'temp_min': 298.25, 'temp_max': 298.25, 'pressure': 1006, 'sea_level': 1006, 'grnd_level': 862, 'humidity': 30, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 54},"{'speed': 9.11, 'deg': 275, 'gust': 7.53}",10000,0.0,{'pod': 'd'},2023-06-15 00:00:00
1686798000,"{'temp': 294.01, 'feels_like': 293.38, 'temp_min': 294.01, 'temp_max': 294.01, 'pressure': 1008, 'sea_level': 1008, 'grnd_level': 862, 'humidity': 47, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 100},"{'speed': 4.55, 'deg': 273, 'gust': 6.01}",10000,0.0,{'pod': 'd'},2023-06-15 03:00:00
1686808800,"{'temp': 291.24, 'feels_like': 290.67, 'temp_min': 291.24, 'temp_max': 291.24, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 863, 'humidity': 60, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 2.35, 'deg': 281, 'gust': 2.71}",10000,0.0,{'pod': 'n'},2023-06-15 06:00:00
1686819600,"{'temp': 289.18, 'feels_like': 288.59, 'temp_min': 289.18, 'temp_max': 289.18, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 862, 'humidity': 67, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 36},"{'speed': 2.06, 'deg': 273, 'gust': 2.22}",10000,0.0,{'pod': 'n'},2023-06-15 09:00:00
1686830400,"{'temp': 287.72, 'feels_like': 287.01, 'temp_min': 287.72, 'temp_max': 287.72, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 862, 'humidity': 68, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",{'all': 19},"{'speed': 1.37, 'deg': 283, 'gust': 1.53}",10000,0.0,{'pod': 'n'},2023-06-15 12:00:00
1686841200,"{'temp': 290.71, 'feels_like': 289.8, 'temp_min': 290.71, 'temp_max': 290.71, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 863, 'humidity': 49, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",{'all': 10},"{'speed': 1.1, 'deg': 331, 'gust': 1.02}",10000,0.0,{'pod': 'd'},2023-06-15 15:00:00
1686852000,"{'temp': 294.8, 'feels_like': 293.91, 'temp_min': 294.8, 'temp_max': 294.8, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 865, 'humidity': 34, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 26},"{'speed': 2.56, 'deg': 20, 'gust': 2.77}",10000,0.0,{'pod': 'd'},2023-06-15 18:00:00
1686862800,"{'temp': 297.87, 'feels_like': 297.13, 'temp_min': 297.87, 'temp_max': 297.87, 'pressure': 1010, 'sea_level': 1010, 'grnd_level': 865, 'humidity': 28, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 37},"{'speed': 4.56, 'deg': 14, 'gust': 4.34}",10000,0.0,{'pod': 'd'},2023-06-15 21:00:00
1686873600,"{'temp': 298.05, 'feels_like': 297.25, 'temp_min': 298.05, 'temp_max': 298.05, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 865, 'humidity': 25, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 47},"{'speed': 2.89, 'deg': 7, 'gust': 3.61}",10000,0.17,{'pod': 'd'},2023-06-16 00:00:00
1686884400,"{'temp': 295.54, 'feels_like': 294.49, 'temp_min': 295.54, 'temp_max': 295.54, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 865, 'humidity': 25, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 71},"{'speed': 2.91, 'deg': 16, 'gust': 3.47}",10000,0.08,{'pod': 'd'},2023-06-16 03:00:00
1686895200,"{'temp': 292.03, 'feels_like': 290.68, 'temp_min': 292.03, 'temp_max': 292.03, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 865, 'humidity': 27, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 38},"{'speed': 1.37, 'deg': 358, 'gust': 1.93}",10000,0.0,{'pod': 'n'},2023-06-16 06:00:00
1686906000,"{'temp': 289.46, 'feels_like': 287.98, 'temp_min': 289.46, 'temp_max': 289.46, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 865, 'humidity': 32, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",{'all': 0},"{'speed': 0.65, 'deg': 204, 'gust': 1.13}",10000,0.0,{'pod': 'n'},2023-06-16 09:00:00
